country_code,country,year,slum_pct,urban_pop,slum_population,start_year,end_year,slum_change_total,urban_growth_total,slum_population_change_total
BIH,Bosnia and Herzegovina,2004,5.1,1815328.0,92581.72799999999,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2006,4.9,1807151.0,88550.399,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2008,4.7,1780700.0,83692.9,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2010,4.5,1743337.0,78450.165,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2012,4.3,1701669.0,73171.76699999999,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2014,4.0,1680132.0,67205.28,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2016,4.0,1667906.0,66716.24,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2018,4.0,1658679.0,66347.16,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2020,0.3128,1648721.0,5157.199288,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BIH,Bosnia and Herzegovina,2022,0.3128,1635139.0,5114.714792000001,2000,2022,-4.7871999999999995,-7.627041565427543,-85162.88420799999
BWA,Botswana,2000,58.69239,892447.0,523798.4737833,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2002,56.56976,959869.0,542995.5896144,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2004,54.44714,1034740.0,563386.336436,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2006,52.32451,1118001.0,584988.5450451,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2008,50.20189,1205709.0,605288.7059001,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2010,48.07927,1290916.0,620662.9891132,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2012,45.95664,1357935.0,624061.299384,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2014,43.83402,1413925.0,619780.167285,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2016,41.71139,1468135.0,612379.5155765001,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2018,39.58877,1521064.0,602170.5285127999,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2020,39.6,1572109.0,622555.164,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BWA,Botswana,2022,39.6,1624699.0,643380.804,2000,2022,-19.09239,82.04991444870116,119582.33021669998
BRA,Brazil,2000,34.73978,141213115.0,49057125.48214701,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2002,31.43266,146362770.0,46005711.860682,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2004,28.12555,151038882.0,42480516.276351,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2006,24.81844,155420834.0,38573026.4337896,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2008,21.51132,159534662.0,34318011.6537384,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2010,18.20421,163375657.0,29741247.6891597,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2012,14.8971,167142675.0,24899411.437425,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2014,14.8971,170939000.0,25464953.768999998,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2016,14.8971,174663337.0,26019771.976227,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
BRA,Brazil,2022,14.8971,183701720.0,27366228.93012,2000,2022,-19.84268,30.08828535508193,-21690896.55202701
